Unit,Title,URL
Geometric Objects and Transformations,Intro to VR,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/4b6405d9-34e5-4fa8-b27b-4cf30200e3e4
Geometric Objects and Transformations,Scalars and Vectors,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/8fd11c5d-37d1-413e-b02a-abb5f2f5109e
Geometric Objects and Transformations,Graphical Programming,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/bbe93771-6a75-43a3-8966-005ab122a7a0
Geometric Objects and Transformations,Coordinate system,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/3e5a8f60-649d-4a37-bd7a-906011d472b7
Geometric Objects and Transformations,Homogenous Coordinates,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/2539041f-3df9-4609-8be2-7c78ca70250c
Geometric Objects and Transformations,tranformation basics,https://www.pesuacademy.com/Academy/a/referenceMeterials/downloadslidecoursedoc/b3667c6d-8e96-4108-be8d-ebc0a8a261ff
Geometric Objects and Transformations,Affine Transformations,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/8a64e2ea-35c3-4773-babb-d6fd0c53d0c9
Geometric Objects and Transformations,Homogenous Coordinates,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/3901f18c-eed9-45a0-9c6f-b9236f57705e
Geometric Objects and Transformations,Quaternions,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/1e167536-0d20-42b3-a39c-98e89c0ceb5a
Graphical System and Programming and 3D Modelling,Serpenski Gasket,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/e735a184-5576-4497-bf8d-466e0021681d
Graphical System and Programming and 3D Modelling,FirstOpenGl Program,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/2d1633b7-f88c-45f0-bc65-4395ee60b4e8
Graphical System and Programming and 3D Modelling,Serpenski Gasket Implementation,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/93749c77-1e0f-44ed-a8f8-5162f814c2b0
Graphical System and Programming and 3D Modelling,Pespective-Ortho-LookAt,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/bad5183b-4083-4887-ae89-4b38f760fb00
Augmented and Virtual Reality.,Intro to Augmented Reality,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/c1efd1b9-906c-4ce1-8338-f00ce2a1d7a0
Augmented and Virtual Reality.,Methods of Augmentation,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/cf8d984f-c7f1-4c1c-a31d-d19743ca3f46
Augmented and Virtual Reality.,Tracking Techniques,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/60433c8e-4808-4adc-874c-62244e986a6c
Augmented and Virtual Reality.,Intro to VR,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/4f936aba-2757-407b-befd-fa5dd937b7b2
Augmented and Virtual Reality.,Hardware and Software,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/e680db71-99f9-4d82-b034-0e4c21c2cb89
Augmented and Virtual Reality.,2d and 3d tracking,https://www.pesuacademy.com/Academy/a/referenceMeterials/downloadslidecoursedoc/313c90ac-46d5-45f4-8184-7e8f8abf2ad2
Augmented and Virtual Reality.,Tilt and Drift Error,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/958ce0b8-b26c-4dac-ae6a-6c5e76095130
Augmented and Virtual Reality.,Sensor Fusion - IMU case,https://www.pesuacademy.com/Academy/a/referenceMeterials/downloadslidecoursedoc/3e2fbcb1-f213-42f3-aa13-39052a07b525
"IO modalities, AI, and Behaviour in VR ​​​​​​​",Markerless Tracking,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/42ead9fc-35bc-479a-93fa-835bf2fdaebc
"IO modalities, AI, and Behaviour in VR ​​​​​​​",Natural Feature and Incremental Tracking,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/734654c4-207f-4fa1-9325-d1e4a0156129
"IO modalities, AI, and Behaviour in VR ​​​​​​​",Incremental Tracking,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/8fff4029-3878-41c3-98c5-b9a630d9c164
"IO modalities, AI, and Behaviour in VR ​​​​​​​",Slam and outdoor Tracking,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/0dbbe675-3bf1-4bad-ae94-a6d12a02f112
"IO modalities, AI, and Behaviour in VR ​​​​​​​",Interactions - 01,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/0abebe97-1a51-40f0-a93d-716ff4ca5c43
"IO modalities, AI, and Behaviour in VR ​​​​​​​",Interactions-02,https://www.pesuacademy.com/Academy/s/referenceMeterials/downloadcoursedoc/bb3c3d51-fad6-4ca5-becb-ff1415d24c09
